,公开日--year,histogram
0,1973,2
1,1974,1
2,1975,1
3,1977,1
4,1979,1
5,1980,3
6,1981,1
7,1982,2
8,1984,1
9,1987,2
10,1988,1
11,1989,2
12,1991,1
13,1992,4
14,1993,1
15,1994,1
16,1996,2
17,1997,2
18,1998,2
19,1999,1
20,2000,3
21,2001,1
22,2002,6
23,2003,2
24,2004,3
25,2005,3
26,2006,8
27,2007,10
28,2008,5
29,2009,9
30,2010,13
31,2011,11
32,2012,24
33,2013,35
34,2014,33
35,2015,47
36,2016,104
37,2017,209
38,2018,295
39,2019,391
40,2020,812
41,2021,505
42,2022,453
