,公开日--year,histogram
0,1997,1
1,1998,3
2,1999,1
3,2000,3
4,2001,2
5,2002,1
6,2003,8
7,2004,3
8,2005,4
9,2006,6
10,2007,6
11,2008,9
12,2009,13
13,2010,13
14,2011,28
15,2012,37
16,2013,39
17,2014,60
18,2015,239
19,2016,898
20,2017,1734
21,2018,1370
22,2019,1129
23,2020,944
24,2021,928
25,2022,326
