,授权公告日--year,histogram
0,2002,2
1,2003,3
2,2004,1
3,2005,1
4,2007,5
5,2008,6
6,2009,9
7,2010,5
8,2011,12
9,2012,15
10,2013,17
11,2014,25
12,2015,113
13,2016,382
14,2017,590
15,2018,585
16,2019,535
17,2020,628
18,2021,673
19,2022,221
20,nan,3977
