公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN113466301A","CN202110862575.4","用于快速筛查膀胱癌标志物的生物芯片及制备方法和应用","20210729","20211001",,"G01N 27/26","G01N","","","4","武汉大学","武汉大学","袁荃 | 杨雁冰 | 王敬锋","袁荃","0","0","0","0","0","0","公开","0","153",
"CN113462760A","CN202010169754.5","生物芯片的检测方法、装置及设备","20200312","20211001",,"C12Q  1/686 | G06T  7/12 | G06T  5/30 | G06T  7/60","C12Q","","","11","京东方科技集团股份有限公司","京东方","侯孟军 | 吴琼 | 刘宗民 | 段立业","侯孟军","0","0","0","0","0","0","公开","0","17",
"CN214278205U","CN202120405276.3","一种用于生物芯片的密封装置","20210224","20210924","20210924","G01N 33/68","G01N","","","6","湖南玖康生物科技有限公司","湖南玖康生物科技有限公司","郭阔 | 李义红 | 黄坚","郭阔","0","0","0","0","0","0","有效","0","14",
"CN113426499A","CN202110776272.0","微结构、生物芯片、成膜方法、基因测序装置及其应用","20210708","20210924",,"B01L  3/00 | C12M  1/34 | C12M  1/00","B01L","","","15","成都齐碳科技有限公司","成都齐碳科技有限公司","张喆 | 任世龙 | 孙杰","张喆","0","0","0","0","0","0","公开","0","9",
"CN113430251A","CN202110664282.5","一种恒温扩增试剂的浓缩方法及集成式生物芯片","20210616","20210924",,"C12Q  1/6844 | C12Q  1/6837 | C40B 40/06","C12Q","","","10","成都博奥晶芯生物科技有限公司","北京博奥晶典生物技术有限公司","邓杰 | 牟禹 | 黄雪艳 | 钟彪 | 蒋迪 | 顾代春 | 高云","邓杰","0","0","0","0","0","0","公开","0","7",
"CN113416766A","CN202110752306.2","一种生物芯片的解码方法","20210702","20210921",,"C12Q  1/6837 | G01N 33/68","C12Q","","","6","苏州拉索生物芯片科技有限公司","苏州拉索生物芯片科技有限公司","李智 | 许心意 | 刘超钧","李智","0","0","0","0","0","0","公开","0","23",
"CN214206798U","CN202120109752.7","一种宠物体内接种式微型生物芯片","20210115","20210917","20210917","A01K 29/00","A01K","","","6","南京聚聚网络科技有限公司","南京聚聚网络科技有限公司","唐力","唐力","0","0","0","0","0","0","有效","0","21",
"CN113358610A","CN202110433051.3","一种应用到微流控快检系统中硅基生物芯片及其封装工艺","20210422","20210907",,"G01N 21/64 | G01N 33/68 | C40B 40/10","G01N","","","4","厦门三优光电股份有限公司","厦门三优光电股份有限公司","杨啸威 | 江天 | 王诚荣","杨啸威","0","0","0","0","0","0","公开","0","19",
"CN214078139U","CN202022944587.5","一种生物芯片用洗脱装置","20201210","20210831","20210831","B08B  3/04 | B08B 13/00 | F26B  9/10","B08B","","","5","天津昌和生物医药技术有限公司","天津昌和生物医药技术有限公司","不公告发明人","不公告发明人","0","0","0","0","0","0","有效","0","20",
"CN113311160A","CN202110672938.8","快速检测SARS-CoV-2抗原和IgG/IgM抗体的微流控生物芯片","20210617","20210827",,"G01N 33/569 | B01L  3/00","G01N","","","10","山东科讯生物芯片技术有限公司 | 山东大学","山东科讯生物芯片技术有限公司 | 山东大学","韩琳 | 张宇 | 王春华 | 刘宏 | 邢志青 | 陈莉 | 张平","韩琳","0","0","0","0","0","0","公开","0","31",
"CN113312589A","CN202110641008.6","基于多PUF的MEDA生物芯片硬件版权保护方法","20210609","20210827",,"G06F 21/10 | G06F 21/71","G06F","","","8","福州大学","福州大学","郭文忠 | 连思璜 | 董晨 | 陈震亦 | 刘灵清 | 柳煌达","郭文忠","0","0","0","0","0","0","公开","0","24",
"CN113308361A","CN202110604580.5","生物芯片杂交生化反应器","20210531","20210827",,"C12M  1/36 | C12M  1/34 | C12M  1/00","C12M","","","8","河南胜凡信息科技有限公司","河南胜凡信息科技有限公司","李晓阳","李晓阳","0","0","0","0","0","0","公开","0","14",
