公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN114185700A","CN202111513960.4","信息展示方法、装置、电子设备和存储介质","20211210","20220315",,"G06F  9/54","G06F","","","19","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","赵三元","赵三元","0","0","0","0","0","0","公开","0","11",
"CN114187548A","CN202111494322.2","车辆检测方法、装置、电子设备及存储介质","20211208","20220315",,"G06V 20/40 | G06V 20/56","G06V","","","11","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","向伟","向伟","0","0","0","0","0","0","公开","0","16",
"CN114187572A","CN202111476910.3","一种定位数据处理方法、装置、电子设备及存储介质","20211202","20220315",,"G06V 20/58 | G06V 10/24","G06V","","","17","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（成都）有限公司","百度在线网络技术 | 阿波罗智行信息科技成都有限公司","李元","李元","0","0","0","0","0","0","公开","0","8",
"CN114170821A","CN202111542894.3","信号机的性能检测方法、装置、交通信号灯的控制系统","20211216","20220311",,"G08G  1/095 | G08G  1/07","G08G","","","26","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","于高 | 陈明智 | 张池 | 王闯","于高","0","0","0","0","0","0","公开","0","14",
"CN114170189A","CN202111499473.7","故障检测及模型训练方法、装置、电子设备及存储介质","20211209","20220311",,"G06T  7/00 | G06K  9/62 | G06V 10/774","G06T","","","23","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","李金刚","李金刚","0","0","0","0","0","0","公开","0","13",
"CN114162141A","CN202111498037.8","控制方法、装置、系统、电子设备、存储介质及车辆","20211209","20220311",,"B60W 60/00 | B60W 50/00 | B60W 40/00","B60W","","","25","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","李罗姗竹 | 王雅","李罗姗竹","0","0","0","0","0","0","公开","0","14",
"CN114167463A","CN202111482505.2","车辆异常停滞的检测方法、电子设备和管理系统","20211206","20220311",,"G01S 19/42 | G01S 19/52","G01S","","","20","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","李啸 | 凤鸾 | 李静 | 吴镇 | 王春 | 王泽 | 马玉坤","李啸","0","0","0","0","0","0","公开","0","16",
"CN114155731A","CN202111618076.7","自动驾驶车辆的数据处理方法、装置和自动驾驶车辆","20211227","20220308",,"G08G  1/0967 | G08G  1/0969 | G08G  1/01 | H04W  4/40","G08G","","","18","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","刘杨 | 夏娜 | 王子岩 | 赵腾飞 | 孙佳鹏","刘杨","0","0","0","0","0","0","公开","0","12",
"CN114155712A","CN202111525406.8","交通信号灯的控制方法、装置及系统","20211214","20220308",,"G08G  1/01 | G08G  1/07 | G08G  1/095","G08G","","","43","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","王浩 | 梅雨","王浩","0","0","0","0","0","0","公开","0","21",
"CN114153542A","CN202111449197.3","投屏方法、装置、电子设备及计算机可读存储介质","20211130","20220308",,"G06F  9/451","G06F","","","20","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","黄启立","黄启立","0","0","0","0","0","0","公开","0","5",
"CN114153312A","CN202111437697.5","VPA控制方法、装置、设备、存储介质及程序产品","20211129","20220308",,"G06F  3/01 | G06F  8/60","G06F","","","15","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","周毅","周毅","0","0","0","0","0","0","公开","0","11",
"CN114157471A","CN202111433260.4","车辆异常的处理方法、装置、电子设备和介质","20211129","20220308",,"H04L  9/40 | H04L 41/0816 | H04L 67/125","H04L","","","21","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","曹亮 | 崔志阳","曹亮","0","0","0","0","0","0","公开","0","14",
"CN114132344A","CN202111570643.6","一种自动驾驶车辆的决策方法、装置、设备及存储介质","20211221","20220304",,"B60W 60/00","B60W","","","21","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","章桢 | 于宁 | 王星宇","章桢","0","0","0","0","0","0","公开","0","9",
"CN114143356A","CN202111531613.4","基于车辆的通信控制方法、装置及电子设备","20211214","20220304",,"H04L 67/12 | H04L 67/52 | H04W  4/02 | H04W  4/021 | H04W  4/40 | H04W 84/06","H04L","","","20","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","赵三元","赵三元","0","0","0","0","0","0","公开","0","14",
"CN114143063A","CN202111416710.9","信息处理方法、装置、电子设备以及存储介质","20211125","20220304",,"H04L  9/40 | H04L 67/02 | H04L 67/12 | H04L 67/60","H04L","","","19","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","陈伟亮 | 张龙 | 殷切","陈伟亮","0","0","0","0","0","0","公开","0","15",
"CN114120671A","CN202111537661.4","交通信号灯的控制方法、装置、设备和存储介质","20211215","20220301",,"G08G  1/081 | G08G  1/095","G08G","","","14","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","王浩 | 梅雨","王浩","0","0","0","0","0","0","公开","0","15",
